video_id,comment_id,comment_text,comment_author,comment_date,comment_like_count,parent_comment_id
LjIaeJH57-Q,UgymVVnSt6orr87Fh7h4AaABAg,surely comedy skit right,ichatterbot,2023-05-01T01:55:27Z,0,
LjIaeJH57-Q,Ugzc47z85QaOwNJctH14AaABAg,never allow dictator like putin dictate security policies,karebo antario,2023-04-30T15:20:00Z,0,
LjIaeJH57-Q,Ugxm5aKLGdsy0wDxTjh4AaABAg,accepting ukraine nato years ago big mistake,karebo antario,2023-04-30T15:17:54Z,0,
LjIaeJH57-Q,UgwI7Hn4dfKmlQ4xLb54AaABAg,ukriane first country hit nukesand second polandthat full nato lgbt army,Laddin Laddin,2023-04-30T06:29:28Z,0,
LjIaeJH57-Q,Ugz_FLG0fsf0sK3nhxp4AaABAg,never accept ukraine ranks nato trouble magnet eu tried enforce minsk accords leaders ukraine told us fuk sovereignty usa support etc managed make russian dictatorship angry came back tail legs telling us bleed economies bail forced hand europe crisis economy bled dry us making billions selling us weapon send ukraine liquified gas conflict destruction europe chineseusa rival even putin making billions selling overpriced oil gas,merov merov,2023-04-29T10:02:38Z,1,
LjIaeJH57-Q,UgwAX-oGrVvHGxV_vOR4AaABAg,ukraine must join nato cause cant go nothing,Tm Tino Eats,2023-04-29T07:01:37Z,0,
LjIaeJH57-Q,Ugy4hQx7lB8m77Vpj694AaABAg,zelensky didnt learn lesson far,Shan,2023-04-29T04:43:15Z,1,
LjIaeJH57-Q,Ugxsmcaf_phtooV91Wx4AaABAg,cry babies,Guillermo Ramirez,2023-04-28T21:55:24Z,0,
LjIaeJH57-Q,UgyR8JmmeTvA7s9ayTB4AaABAg,war going nato vs brics,Slmon Sogo,2023-04-28T20:24:22Z,0,
LjIaeJH57-Q,Ugx_eGMg48cR2NfChy54AaABAg,oh looks like ww start soon congrats biden,Redshanks Bolshevik empire,2023-04-28T20:07:28Z,0,
LjIaeJH57-Q,UgxRdn5LfjNV8tDjSR94AaABAg,happen war ends article apply situation ukraine already war nato intervene,Edward Van den berg,2023-04-28T16:16:51Z,0,
