video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
LjIaeJH57-Q,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war nato allies agree ukraine will become member,Sky News,Entertainment,none,277943,3327,0,1501,2023-04-21T15:12:52Z,"SKY NEWS LIVE,SKY NEWS,UK,UKRAINE,NATO,RUSSIA,WAR",PT4M4S,hd,False,https://i.ytimg.com/vi/LjIaeJH57-Q/default.jpg,https://www.youtube.com/watch?v=LjIaeJH57-Q
WIo5KDG319o,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war why putin fears nato expansion,Sky News,News & Politics,none,532119,4642,0,1832,2022-03-22T15:09:45Z,"ukraine,russia,invasion,war,europe,nato,sky news,sky news breaking,zelenskyy,protests,watch sky news live,bombing,shelling,uk,us,border,poland,putin,ukraine war,kyiv,lviv,refugees,escape,chemical,weapons,nuclear,troops,soldiers,boris johnson,vladimir putin,latest news,eu,moscow,mariupol,odesa,odessa,humanitarian,ceasefire,president,Kharkiv,refugee crisis,mykolaiv,attack,belarus,Mariupol,sky news live,latest,Screen,Biological,Kyiv,attacks,Lviv,camouflage nets,Sean Bell",PT3M41S,hd,False,https://i.ytimg.com/vi/WIo5KDG319o/default.jpg,https://www.youtube.com/watch?v=WIo5KDG319o
1sc6ycvbN-w,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war ukraine must ready for another russian assault  nato boss,Sky News,News & Politics,none,171815,2788,0,978,2023-01-26T12:20:05Z,"Volodymyr Zelenskyy,Ukraine,Ukraine War,Russia,Tanks,Sky News,Sky,War,Vladimir Putin,Kay Burley,Interview,Exclusive,Latest news,Latest bulletin,Comedian,Actor,President,Birthday,45,Hero,Leader,Leadership,Hope,Inspiration,United States,Donations,Support,NATO,Jens Stoltenberg,Norway,Spring offensive",PT6M49S,hd,False,https://i.ytimg.com/vi/1sc6ycvbN-w/default.jpg,https://www.youtube.com/watch?v=1sc6ycvbN-w
1pv3HQFn16s,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war  nato enlargement is the result not the cause of putins war  lloyd austin,Sky News,News & Politics,none,87033,873,0,745,2023-04-21T15:16:36Z,"lloyd austin,ramstein,ramstein air base,austin,vladimir putin,putin,ramstein meeting,lloyd austin india,lloyd austin china,lloyd austin ukraine,lloyd austin army,lloyd austin korea,lloyd austin speech,lloyd austin germany,lloyd austin raytheon,lloyd austin press conference,lloyd austin arrives at pentagon,ramstein airbase,ramstein ukraine,ramstein conference",PT3M5S,hd,False,https://i.ytimg.com/vi/1pv3HQFn16s/default.jpg,https://www.youtube.com/watch?v=1pv3HQFn16s
s_PI3CBzFmA,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war natos secretary general pledges continued support in surprise visit to kyiv,Sky News,News & Politics,none,17764,285,0,247,2023-04-20T18:45:52Z,"ukraine,nato,ukraine war,war in ukraine,russia ukraine war,russia ukraine,ukraine russia,ukraine russia news,russia ukraine news,ukraine news,ukraine russia war,russia ukraine war news,ukraine war news,nato ukraine,russia war ukraine,russia vs ukraine,ukraine russian,russian ukraine war,russia vs ukraine war update,russia ukraine war russian,russia ukraine war update,russia ukraine war live,ukraine war latest,ukraine nato,sky news",PT2M12S,hd,False,https://i.ytimg.com/vi/s_PI3CBzFmA/default.jpg,https://www.youtube.com/watch?v=s_PI3CBzFmA
LvBlPQjByd4,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war new russian offensive has begun,Sky News,News & Politics,none,395111,3868,0,1617,2023-02-13T14:48:13Z,"russia ukraine war,ukraine russia war,ukraine war,russia vs ukraine war update,war in ukraine,russia,russia ukraine war news,ukraine,russia ukraine,ukraine russia,russia ukraine war russian,russia ukraine war live,russia war ukraine,russia ukraine war update,ukraine russia news,russia ukraine news,russian ukraine war,russia ukraine war map,ukraine war news,russia ukraine war update today,russia ukraine conflict,sky news,sky news ukraine,sky news world",PT2M31S,hd,False,https://i.ytimg.com/vi/LvBlPQjByd4/default.jpg,https://www.youtube.com/watch?v=LvBlPQjByd4
JQDOfXV0DZM,UCoMdktPbSTixAyNGwb-UYkQ,russia blames the ukraine war on nato alliance,Sky News,Entertainment,none,324019,3563,0,2743,2022-04-17T19:09:26Z,"SKY NEWS,SKY,NEWS,SKY NEWS LIVE,UK NEWS,LATEST,RUSSIA,UKRAINE,MOSCOW,VLADIMIR PUTIN,Volodymyr Zelenskyy,KYIV,KHARKIV,KHERSON,TROOPS,MILITARY,ARMY,REFUGEES,UK GOVERNMENT,NATO,WEST,DOWNING STREET,KREMLIN,CIVILIANS,SHELLING,BOMBING,LVIV,MARIUPOL,TRAIN,General,Poland,Leave,Refugees,Migrants,poland,charity,humanitarian,crisis,route,border,breaking,GENOCIDE,CRIMES AGAINST HUMANITY,WAR CRIMES,ICC,uk soldiers,lavrov,turkey,talks,propaganda,diana magnay,moscow",PT3M22S,hd,False,https://i.ytimg.com/vi/JQDOfXV0DZM/default.jpg,https://www.youtube.com/watch?v=JQDOfXV0DZM
6PxAbE8UutI,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war nato says russia did not attack poland,Sky News,Entertainment,none,312007,3082,0,2636,2022-11-16T12:03:21Z,"russia,poland,nato,russia poland,russia nato,russia ukraine war,russia ukraine,russia poland news,ukraine russia news,nato russia,russia vs nato,ukraine russia war,russia poland nato missile,russian missles poland,russia news,russia vs ukraine,russia poland latest,russia war ukraine,poland russia ties,russian,russia ukraine news,russia hits poland,russia attacks poland,russia bomb poland,russia nato war,sky news,sky news live,sky news latest",PT2M54S,hd,False,https://i.ytimg.com/vi/6PxAbE8UutI/default.jpg,https://www.youtube.com/watch?v=6PxAbE8UutI
aa486a60JKs,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war severe consequences if russia uses nuclear weapon  nato,Sky News,News & Politics,none,122209,1117,0,743,2022-10-14T07:46:20Z,"sky news live,sky news latest,live,latest,news,sky,watch,online,breaking,ukraine,war,russia,kyiv,kiev,moscow,putin,Vladimir Putin,brussels,nato,usa,us,america,united states,defence,deborah,haynes,weapons,rockets,missiles,attack,fighting,troops,military,eu,europe,council,baltic,west,east,NATO",PT2M30S,hd,False,https://i.ytimg.com/vi/aa486a60JKs/default.jpg,https://www.youtube.com/watch?v=aa486a60JKs
u4PZvRrEbx0,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war what can nato learn from poland incident,Sky News,Entertainment,none,318343,2932,0,1133,2022-11-16T16:10:16Z,"sky news live,sky news,sky news latest,ukraine war news,russia ukraine war news,war in ukraine,ukraine,ukraine war,ukraine news,russia ukraine war,russia ukraine news,ukraine russia news,ukraine latest news,ukraine russia war,sky news ukraine,ukraine war latest,russian ukraine news,russia ukraine war russian,watch sky news live,news,sky,russia vs ukraine war update,russia war ukraine,ukraine russia,russia ukraine,russia vs ukraine,ed arnold,poland",PT2M55S,hd,False,https://i.ytimg.com/vi/u4PZvRrEbx0/default.jpg,https://www.youtube.com/watch?v=u4PZvRrEbx0
o18AOL1vCxo,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war ukraines rightful place is in nato  stoltenberg,Sky News,News & Politics,none,73481,1513,0,959,2023-04-20T12:11:33Z,"nato,sky news,sky news live,news,sky news latest,nato news,watch sky news live,ukraine russia news,russia ukraine news,ukraine news,uk news,russian ukraine news,ukraine war news,russia ukraine war news,ukraine latest news,sky news ukraine,breaking news,sky news breaking,latest news,finland nato news,russia nato,nato russia,sky news latest headlines,sky news world,ukraine,ukraine war,russia ukraine war,war in ukraine,ukraine russia war",PT2M16S,hd,False,https://i.ytimg.com/vi/o18AOL1vCxo/default.jpg,https://www.youtube.com/watch?v=o18AOL1vCxo
iMhccGRO9WM,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war nato will not underestimate russia despite kherson withdrawal,Sky News,News & Politics,none,52195,579,0,145,2022-11-09T21:53:34Z,"sky news live,sky news latest,sky news,ukraine,russia ukraine war news,ukraine war,war in ukraine,russia ukraine news,war,russia ukraine war,ukraine news,ukraine russia news,ukraine russia war,news,russia ukraine war russian,ukraine war news,russian ukraine news,watch sky news live,ukraine latest news,ukraine russia,russia ukraine,iran,drones,kherson,russia withdrawal,russia withdraws from kherson,dnipro,nato,jens stoltenberg",PT2M32S,hd,False,https://i.ytimg.com/vi/iMhccGRO9WM/default.jpg,https://www.youtube.com/watch?v=iMhccGRO9WM
6qVn59y1a30,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war nato meets to discuss new weapons pledge,Sky News,Entertainment,none,108327,1183,0,545,2022-10-12T20:23:44Z,"sky news live,sky news latest,live,latest,news,sky,watch,online,breaking,ukraine,war,russia,kyiv,kiev,moscow,putin,Vladimir Putin,brussels,nato,usa,us,america,united states,defence,deborah,haynes,weapons,rockets,missiles,attack,fighting,troops,military,eu,europe,council,baltic,west,east",PT2M32S,hd,False,https://i.ytimg.com/vi/6qVn59y1a30/default.jpg,https://www.youtube.com/watch?v=6qVn59y1a30
_qiWerErEl4,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war is nato and the united states running low on ammunition,Sky News,News & Politics,none,142850,1413,0,825,2023-02-14T20:38:53Z,"Ukraine,Russia,Weapons,Dominic Waghorn,Guns,Shells,Missile,Planes,Vladimir Putin,volodymyr zelenskyy,United States,Joe Biden,Jens Stoltenberg",PT2M35S,hd,False,https://i.ytimg.com/vi/_qiWerErEl4/default.jpg,https://www.youtube.com/watch?v=_qiWerErEl4
CKJq2XVUuoM,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war nato chief warns russia over dirty bomb claims,Sky News,Entertainment,none,166987,2304,0,663,2022-10-25T22:21:01Z,"ukraine,russia,ukraine war,russian war,skynews,sky news,skynews.com,what is a dirty bomb,dirty bomb,are russia winning the war,putin,zelenskyy,death toll ukraine,nuclear war,are russia going to use nuclear weapons,do russia have nuclear weapons,will putin use nuclear weapons,will there be a nuclear war,when will the ukraine war end,sergei lavrov,Dirty bomb,NATO,Russia,Ukraine,Jens Stoltenberg,Adriatic",PT2M27S,hd,False,https://i.ytimg.com/vi/CKJq2XVUuoM/default.jpg,https://www.youtube.com/watch?v=CKJq2XVUuoM
yXqes_sOrRk,UCoMdktPbSTixAyNGwb-UYkQ,ukraine war putin warns finland against joining the nato alliance,Sky News,Entertainment,none,295057,3265,0,1236,2022-05-14T21:08:34Z,"UKRAINE WAR,RUSSIA,VLADIMIR PUTIN,MOSCOW,UNITED NATIONS,SERGEI LAVROV,MARIUPOL,VOLODYMYR ZELENSKYY,KYIV,KHARKIV,DNIPRO,DONETSK,LUHANSK,DONBAS REGION,HUMANITARIAN CRISIS,BOMBING,BLASTS,DEATH,ARMY,SOLDIERS,TANKS,NATO,TROOPS,united nations,sky news live,breaking,mariupol,siege,donbas,israel,finland,Ukraine,War,Nato,Siobhan Robbins,Europe",PT1M52S,hd,False,https://i.ytimg.com/vi/yXqes_sOrRk/default.jpg,https://www.youtube.com/watch?v=yXqes_sOrRk
